Area Amostra Prof pH C MO N  C_N Al Na_Cl K P dens_part
Mocambo W4  20_30 4.26 10.67 18.40 0.76 14.12 1.89 3.17 55.13 4.87 2.56
Mocambo W5  0_10 4.01 8.89 15.33 0.95 9.34 2.36 1.98 55.13 6.33 2.78
Mocambo W5  10_20 4.08 10.32 17.79 1.20 8.57 2.55 1.98 64.32 6.14 2.50
Mocambo W5  20_30 4.13 11.74 20.24 1.01 11.65 2.26 2.38 27.57 4.80 2.47
Mocambo W6  0_10 4 23.84 41.10 1.54 15.48 3.77 2.38 82.70 7.54 2.50
Mocambo W6  10_20 4.22 22.41 38.64 1.20 18.62 4.06 2.38 64.32 3.95 2.35
Mocambo W6  20_30 4.25 5.69 9.81 0.92 6.16 2.83 3.57 27.57 3.16 2.63
Mocambo W7  0_10 4.09 16.37 28.22 1.09 14.99 3.49 1.59 36.76 3.22 2.44
Mocambo W7  10_20 4.04 14.23 24.54 1.18 12.10 3.02 1.98 27.57 2.80 2.53
Mocambo W7  20_30 4.29 7.12 12.27 0.84 8.47 2.74 1.98 55.13 6.20 2.38
Mocambo W8  0_10 4.05 9.96 17.17 1.06 9.36 3.49 2.38 45.95 4.87 2.60
Mocambo W8  10_20 4.1 0.36 0.61 0.84 0.42 2.83 2.38 36.76 4.68 2.44
Mocambo W8  20_30 4.22 2.85 4.91 0.67 4.24 2.36 1.98 27.57 3.59 2.38
Mocambo W9  0_10 4.08 16.37 28.22 1.06 15.38 3.68 2.38 55.13 6.99 2.50
Mocambo W9  10_20 4.13 10.32 17.79 1.12 9.21 3.40 1.98 36.76 4.87 2.41
Mocambo W9  20_30 4.21 10.32 17.79 0.87 11.89 2.36 3.17 36.76 6.99 2.56
Mocambo W10  0_10 3.95 13.52 23.31 1.93 7.00 3.96 1.19 55.13 4.87 2.47
Mocambo W10  10_20 4.05 10.98 18.92 1.37 8.00 3.68 1.98 55.13 2.86 2.44
Mocambo W10  20_30 4.14 3.66 6.31 0.98 3.73 3.30 2.38 36.76 10.89 2.53
Mocambo W11  0_10 4.27 4.93 8.50 0.81 6.07 2.64 3.17 45.95 3.53 2.50
Mocambo W11  10_20 4.45 2.96 5.10 0.67 4.40 2.74 1.19 27.57 0.91 2.60
Mocambo W11  20_30 4.61 4.27 7.37 0.95 4.49 2.26 1.59 18.38 0.12 2.60
Mocambo W12  0_10 4.24 9.86 17.00 0.87 11.36 2.64 1.98 36.76 1.40 2.50
Mocambo W12  10_20 4.25 5.92 10.20 0.73 8.13 2.36 2.38 27.57 0.12 2.63
Mocambo W12  20_30 4.44 1.97 3.40 0.62 3.20 2.26 2.78 27.57 1.28 2.60
Mocambo W13  0_10 3.86 9.51 16.40 1.37 6.93 2.92 1.19 64.32 5.41 2.56
Mocambo W13  10_20 3.84 14.14 24.37 1.04 13.65 2.64 0.00 36.76 3.34 2.56
Mocambo W13  20_30 4.1 1.46 2.52 0.78 1.87 1.89 0.00 18.38 0.12 2.56
Mocambo W14  0_10 3.82 1.10 1.89 1.12 0.98 2.17 1.19 45.95 4.62 2.60
Mocambo W14  10_20 4.05 2.93 5.05 0.84 3.48 1.89 0.79 27.57 2.13 2.70
Mocambo W14  20_30 4.23 0.99 1.70 0.87 1.14 1.98 1.59 27.57 3.53 2.60
Mocambo W15  0_10 3.94 10.98 18.92 1.12 9.80 2.45 1.19 45.95 4.62 2.67
Mocambo W15  10_20 4.07 4.02 6.94 0.87 4.64 2.17 1.19 36.76 3.16 2.74
Mocambo W15  20_30 4.18 3.29 5.68 0.76 4.36 2.26 1.19 27.57 2.19 2.54
Mocambo W16  0_10 4.27 8.78 15.14 1.48 5.92 2.74 1.98 91.89 7.54 2.60
Mocambo W16  10_20 4.2 5.12 8.83 1.37 3.73 3.02 1.59 64.32 3.47 2.78
Mocambo W16  20_30 4 5.92 10.20 0.95 6.22 2.45 3.97 64.32 5.60 2.33
Mocambo W17  0_10 4.17 12.07 20.81 1.79 6.74 3.11 3.17 73.51 3.95 2.63
Mocambo W17  10_20 4.1 9.88 17.03 1.20 8.20 2.64 1.19 27.57 3.65 2.53
Mocambo W17  20_30 4.11 2.56 4.42 0.81 3.15 2.55 0.79 55.13 4.14 2.50
Mocambo W18  0_10 4.18 16.83 29.01 1.68 10.02 2.45 1.59 55.13 4.01 2.44
Mocambo W18  10_20 3.77 14.27 24.60 1.34 10.62 3.58 0.79 27.57 1.89 2.30
Mocambo W18  20_30 4.18 6.59 11.35 0.98 6.72 3.11 1.98 64.32 7.30 2.47
Mocambo W19  0_10 4.3 10.61 18.29 1.76 6.01 2.64 0.79 36.76 3.22 2.38
Mocambo W19  10_20 4.15 12.07 20.81 1.48 8.14 2.26 1.19 55.13 4.74 2.50
Mocambo W19  20_30 4.31 3.29 5.68 0.92 3.56 2.45 1.19 73.51 2.19 2.70
Mocambo W20  0_10 4.18 5.49 9.46 1.34 4.08 2.92 1.19 45.95 4.56 2.56
Mocambo W20  10_20 4.18 6.22 10.72 1.12 5.55 2.83 0.40 27.57 2.74 2.50
Mocambo W20  20_30 4.23 7.23 12.47 0.87 8.33 1.98 3.17 36.76 3.89 2.53
